aid,dt.published,dt.funded,donation,donor,title,journalist,donation.med,donation.mean,donation.min,donation.max,donation.p25,donation.p75,n.images,n.words,url.article,url.detail,n.donor.indiv,n.donor.indiv.male,n.donor.indiv.female,n.fb.like,n.fb.share,n.fb.comment,n.fb.total,tle.count,f.tle.有捐款幫助的想法,f.tle.不忍觀看.想要迴避,f.tle.不舒服,f.tle.沮喪.無力,f.tle.難過,f.tle.同情,f.tle.可憐,f.tle.生活艱苦.極需幫助,tleximg.count,f.tleximg.有捐款幫助的想法,f.tleximg.不忍觀看.想要迴避,f.tleximg.誠實,f.tleximg.不舒服,f.tleximg.沮喪.無力,f.tleximg.難過,f.tleximg.同情,f.tleximg.可憐,f.tleximg.可信任,f.tleximg.生活艱苦.極需幫助,f.tleximg.吸引力,f.tleximg.體型,f.meta.reporter.記者1,f.meta.reporter.記者2,f.meta.reporter.記者3,f.meta.reporter.記者4,f.meta.reporter.記者5,f.meta.reporter.記者6,f.meta.reporter.記者7,f.meta.reporter.記者8,dt.published.monthday,dt.published.weekday,f.meta.day.of.week.Fri,f.meta.day.of.week.Mon,f.meta.day.of.week.Sun,f.meta.day.of.week.Thu,f.meta.day.of.week.Tue,f.meta.day.of.week.Wed,f.meta.word.count,f.meta.word.count.scale,f.meta.image.count,dt.published.month,f.meta.month.Apr,f.meta.month.Aug,f.meta.month.Dec,f.meta.month.Feb,f.meta.month.Jan,f.meta.month.Jul,f.meta.month.Jun,f.meta.month.Mar,f.meta.month.May,f.meta.month.Nov,f.meta.month.Oct,f.meta.month.Sep,day.from.start,donor.org,donation.org,donation.med.org,donation.mean.org,f.any.adult.condition,f.any.adult.disability,f.any.adult.disease,f.any.adult.event,f.any.adult.habit,f.any.child.condition,f.any.child.disability,f.any.child.disease,f.any.child.event,f.any.child.habit,f.any.child_infant.condition,f.any.child_infant.disability,f.any.child_infant.disease,f.any.child_infant.event,f.any.child_infant.habit,f.any.condition.受家人看護,f.any.condition.固定回診,f.any.condition.在外成家或工作,f.any.condition.失聯,f.any.condition.有穩定工作,f.any.condition.植物人,f.any.condition.死亡,f.any.condition.無穩定工作,f.any.condition.現正住院,f.any.condition.看護家人,f.any.condition.臥病在家,f.any.condition.身體癱瘓,f.any.dead.adult,f.any.dead.child,f.any.dead.child_infant,f.any.dead.elder,f.any.dead.elder_adult,f.any.dead.infant,f.any.disability.味覺,f.any.disability.嗅覺,f.any.disability.智能,f.any.disability.皮膚,f.any.disability.精神,f.any.disability.聽覺,f.any.disability.肢體,f.any.disability.視覺,f.any.disability.言語,f.any.disease.呼吸道,f.any.disease.失智,f.any.disease.心血管,f.any.disease.炎,f.any.disease.癌,f.any.disease.精神,f.any.disease.糖尿病,f.any.disease.肝,f.any.disease.脊椎,f.any.disease.腎,f.any.disease.腦,f.any.disease.關節,f.any.disease.鬱,f.any.elder_adult.condition,f.any.elder_adult.disability,f.any.elder_adult.disease,f.any.elder_adult.event,f.any.elder_adult.habit,f.any.elder.condition,f.any.elder.disability,f.any.elder.disease,f.any.elder.event,f.any.elder.habit,f.any.event.人為事故,f.any.event.債務,f.any.event.入獄,f.any.event.喪偶,f.any.event.天然災害,f.any.event.失業,f.any.event.婚變,f.any.event.家暴,f.any.event.急性病症,f.any.event.意外事故,f.any.event.慢性病症,f.any.event.自殺,f.any.event.輟學,f.any.event.遺傳病症,f.any.event.離婚,f.any.habit.吃檳榔,f.any.habit.吸毒,f.any.habit.喝酒,f.any.habit.抽菸,f.any.habit.賭博,f.any.habit.過勞,f.any.infant.condition,f.any.infant.disability,f.any.infant.disease,f.any.infant.event,f.any.infant.habit,f.any.student,f.any.subsidized,f.any.零工,f.subject.condition.受家人看護,f.subject.condition.固定回診,f.subject.condition.在外成家或工作,f.subject.condition.失聯,f.subject.condition.有穩定工作,f.subject.condition.植物人,f.subject.condition.死亡,f.subject.condition.無穩定工作,f.subject.condition.現正住院,f.subject.condition.看護家人,f.subject.condition.臥病在家,f.subject.condition.身體癱瘓,f.subject.disability.味覺,f.subject.disability.嗅覺,f.subject.disability.智能,f.subject.disability.皮膚,f.subject.disability.精神,f.subject.disability.聽覺,f.subject.disability.肢體,f.subject.disability.視覺,f.subject.disability.言語,f.subject.disease.呼吸道,f.subject.disease.失智,f.subject.disease.心血管,f.subject.disease.炎,f.subject.disease.癌,f.subject.disease.精神,f.subject.disease.糖尿病,f.subject.disease.肝,f.subject.disease.脊椎,f.subject.disease.腎,f.subject.disease.腦,f.subject.disease.關節,f.subject.disease.鬱,f.subject.event.人為事故,f.subject.event.債務,f.subject.event.入獄,f.subject.event.喪偶,f.subject.event.天然災害,f.subject.event.失業,f.subject.event.婚變,f.subject.event.家暴,f.subject.event.急性病症,f.subject.event.意外事故,f.subject.event.慢性病症,f.subject.event.自殺,f.subject.event.輟學,f.subject.event.遺傳病症,f.subject.event.離婚,f.subject.gender,f.subject.habit.吃檳榔,f.subject.habit.吸毒,f.subject.habit.喝酒,f.subject.habit.抽菸,f.subject.habit.賭博,f.subject.habit.過勞,f.subject.student,f.subject.subsidized,f.subject.零工,f.age.max,f.age.min,f.all.dead.adult,f.all.dead.child,f.all.dead.child_infant,f.all.dead.elder,f.all.dead.elder_adult,f.all.dead.infant,f.finance.below.poverty.line,f.finance.income.source,f.count.adult,f.count.adult.female,f.count.adult.male,f.count.child,f.count.child.female,f.count.child_infant,f.count.child_infant.female,f.count.child_infant.male,f.count.child.male,f.count.elder,f.count.elder_adult,f.count.elder_adult.female,f.count.elder_adult.male,f.count.elder.female,f.count.elder.male,f.count.female,f.count.infant,f.count.infant.female,f.count.infant.male,f.count.male,f.count.members,f.count.minority,f.count.minority.female,f.count.minority.male,f.count.student,f.ratio.adult,f.ratio.adult.female,f.ratio.adult.male,f.ratio.child,f.ratio.child.female,f.ratio.child_infant,f.ratio.child_infant.female,f.ratio.child_infant.male,f.ratio.child.male,f.ratio.elder,f.ratio.elder_adult,f.ratio.elder_adult.female,f.ratio.elder_adult.male,f.ratio.elder.female,f.ratio.elder.male,f.ratio.female,f.ratio.infant,f.ratio.infant.female,f.ratio.infant.male,f.ratio.male,f.ratio.minority,f.ratio.minority.female,f.ratio.minority.male,f.ratio.student,relation.all,f.relation.any.divorce,f.relation.any.kids,f.relation.any.kids.dead,f.relation.any.marriage,f.relation.any.parents.alive,f.relation.any.sibilings,f.relation.both.parents.alive,f.relation.has.adoption,f.relation.has.divorce,f.relation.has.grandparenting,f.relation.is.cohabitation,relation.others,relation.subject,subject.age,f.subject.age.L1_3_40,f.subject.age.L2_41_48,f.subject.age.L3_49_92,f.subject.gender.age.F_L1_3_40,f.subject.gender.age.F_L2_41_48,f.subject.gender.age.F_L3_49_92,f.subject.gender.age.M_L1_3_40,f.subject.gender.age.M_L2_41_48,f.subject.gender.age.M_L3_49_92,f.subject.marital.status.lose.married,f.subject.marital.status.married,f.subject.marital.status.NA.,f.subject.marital.status.unmarried,f.finance.income.level.L1_300_9600,f.finance.income.level.L2_9650_18000,f.finance.income.level.L3_18200_100000,f.finance.income.level.NA,f.finance.expense.level.L1_40_7000,f.finance.expense.level.L2_7200_14500,f.finance.expense.level.L3_14700_200000,f.finance.expense.level.NA,rank,dep
A1568,2008-04-25,2008-05-30,1174940.13106401,1178.77456819345,氣爆毀容 妙齡女復健路長,記者5,580.634835765521,1073.49665276344,2,30000,200,1000,3,915,http://www.appledaily.com.tw/appledaily/article/headline/20080425/30484729,http://www.appledaily.com.tw/charity/projdetail/proj/A1568,906,457,449,0,0,0,0,2,2.5,4,2,2.5,4,5.5,6.5,3,4,5,5.75,6,4.25,4,6.25,6.75,6.75,5.75,5.25,5,3.5,0,0,0,0,1,0,0,0,25,Fri,1,0,0,0,0,0,915,2.96142109406645,3,Apr,1,0,0,0,0,0,0,0,0,0,0,0,115,1042,1017962,500,976.930902111324,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,22,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,0,2,9,0,3,0,1,0,0,0,0,3,6,0,0,0,0,0.777777777777778,0,0.222222222222222,0,0,0,0,0,0,0.222222222222222,1,0,0.333333333333333,0,0.111111111111111,0,0,0,0,0.333333333333333,0,0,0,0,兄妹;兄妺;兄弟;姊妹;生育;結婚,0,0,0,0,0,1,0,0,0,0,0,兄妹;兄妺;兄弟;姊妹;生育;結婚,姊妹;生育,25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2
A3042,2013-04-15,2013-05-19,1217901.96787053,1178.55013852702,母罹癌 11歲兒顧3弟妹,記者6,416.608865964044,945.774302066009,1,50000,200,1000,3,905,http://www.appledaily.com.tw/appledaily/article/headline/20130415/34952016,http://www.appledaily.com.tw/charity/projdetail/proj/A3042,1129,634,495,14,14,1,29,2,2.5,3,3,5.5,5,5.5,5.5,5.5,4,5.75,4,5,4.5,5,5,5.5,5.5,5.5,5.5,5.25,3.75,0,0,0,0,0,1,0,0,15,Mon,0,1,0,0,0,0,905,2.9566485792052,3,Apr,1,0,0,0,0,0,0,0,0,0,0,0,1931,1320,1380246,500,1045.64090909091,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,3,0,4,0,2,1,0,1,0,0,0,0,0,1,0,1,2,5,4,0,2,3,0.2,0,0,0.6,0,0.8,0,0.4,0.2,0,0.2,0,0,0,0,0,0.2,0,0.2,0.4,0.8,0,0.4,0.6,兄弟姊妹;生育,0,1,0,0,0,0,0,0,0,0,0,兄弟姊妹,生育,34,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2
A2999,2013-02-22,2013-03-29,954292.554041266,1164.51691735007,單親媽漸癱 憂稚女無依,記者3,421.305644835011,758.988462454138,1,20000,200,1000,2,835,http://www.appledaily.com.tw/appledaily/article/headline/20130222/34843627,http://www.appledaily.com.tw/charity/projdetail/proj/A2999,1124,647,477,27,19,4,50,3,5,3,3.33,4.33,5.33,5,5.33,5,5,4.4,2.6,5.4,2.8,3.8,4.6,5.8,5.6,5.6,5.4,4.6,5.4,0,0,1,0,0,0,0,0,22,Fri,1,0,0,0,0,0,835,2.9216864754836,2,Feb,0,0,0,1,0,0,0,0,0,0,0,0,1879,1298,1107493,500,853.230354391371,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,生育,0,0,0,0,1,0,0,0,0,0,0,,生育,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2
A2725,2012-03-25,2012-04-30,986469.511368703,1155.68815055965,爺奶罹癌 臉殘兒淚不停,記者4,451.473416813917,815.020172978729,2,20000,176,1000,2,650,http://www.appledaily.com.tw/appledaily/article/headline/20120325/34112818,http://www.appledaily.com.tw/charity/projdetail/proj/A2725,1088,601,487,2,1,0,3,4,4.25,3.75,4,3.75,4.75,4.75,5,4.25,3,3.67,3.33,5,3,4,5,4.33,4.67,5.33,4.33,3.33,3.67,0,0,0,1,0,0,0,0,25,Sun,0,0,1,0,0,0,650,2.81291335664286,2,Mar,0,0,0,0,0,0,0,1,0,0,0,0,1545,1238,1080940,500,873.13408723748,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,49,11,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,1,1,2,4,0,2,0,1,0,0,0,0,3,7,3,0,1,3,0.285714285714286,0,0.142857142857143,0.428571428571429,0,0.428571428571429,0,0.142857142857143,0.142857142857143,0.285714285714286,0.571428571428571,0,0.285714285714286,0,0.142857142857143,0,0,0,0,0.428571428571429,0.428571428571429,0,0.142857142857143,0.428571428571429,生育,0,0,0,0,1,0,0,0,0,0,0,生育,生育,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,2
A1677,2008-09-08,2008-10-14,1090058.13646362,1126.93837742548,全家罹癌 勇母偕子抗病魔,記者5,568.350952564529,1028.43655971979,2,50000,200,1000,3,1433,http://www.appledaily.com.tw/appledaily/article/headline/20080908/30933317,http://www.appledaily.com.tw/charity/projdetail/proj/A1677,889,504,385,0,2,0,2,4,6,3.75,3,4.5,4.25,5.75,5.75,6,5,5.6,4.4,5.6,4.8,5,5.8,5.8,5.8,5.6,5.8,6,4.6,0,0,0,0,1,0,0,0,8,Mon,0,1,0,0,0,0,1433,3.15624619039734,3,Sep,0,0,0,0,0,0,0,0,0,0,0,1,251,1011,956994,500,946.581602373887,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,2,2,1,0,1,1,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,生育;結婚,0,1,0,1,0,0,0,0,0,0,0,,生育;結婚,41,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,2
A3086,2013-05-29,2013-07-05,1100579.08726452,1100.80901798445,一家3殘 77歲嬤賣命撐,記者3,412.634668457841,912.71589216895,5,100000,200,1000,3,657,http://www.appledaily.com.tw/appledaily/article/headline/20130529/35048743,http://www.appledaily.com.tw/charity/projdetail/proj/A3086,1072,594,478,47,21,6,74,3,4.67,2.33,2,5,6,6.33,6,6,7,4.71,3.14,5,3.14,4.86,5.43,5.57,5.43,5.43,5.43,4.29,3.57,0,0,1,0,0,0,0,0,29,Wed,0,0,0,0,0,1,657,2.81756536955978,3,May,0,0,0,0,0,0,0,0,1,0,0,0,1975,1249,1270660,500,1017.3418734988,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,13,0,0,0,0,0,0,0,2,3,0,2,1,0,1,0,0,0,2,5,0,3,0,1,0,0,0,0,3,2,1,0,0,0,0.5,0,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0,0,0.333333333333333,0.833333333333333,0,0.5,0,0.166666666666667,0,0,0,0,0.5,0.166666666666667,0,0,0,生育;結婚,0,1,0,1,0,0,0,0,0,0,0,生育,生育;結婚,77,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,2
A2036,2009-11-25,2009-12-28,1018890.81581675,1100.06755014452,父猝逝 國三女顧癌母3妹,記者4,528.33800949071,950.023213404031,1,50000,200,1000,2,981,http://www.appledaily.com.tw/appledaily/article/headline/20091125/32113202,http://www.appledaily.com.tw/charity/projdetail/proj/A2036,907,539,368,0,1,1,2,4,5.25,2.75,2.75,4.5,5.5,5.5,5.5,5.75,3,4.33,2.67,5,2.67,3.33,4,5,4.33,5.33,5,5.33,4,0,0,0,1,0,0,0,0,25,Wed,0,0,0,0,0,1,981,2.99166900737995,2,Nov,0,0,0,0,0,0,0,0,0,1,0,0,694,1052,963723,500,916.086501901141,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,13,0,0,0,0,0,0,0,0,2,0,1,4,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,1,5,4,0,0,4,0.333333333333333,0,0.166666666666667,0.666666666666667,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0.666666666666667,0,0,0.666666666666667,兄弟姊妹;生育;結婚,0,0,0,0,1,1,0,0,0,0,0,生育;結婚,兄弟姊妹;生育,15,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,2
A1496,2008-01-25,2008-03-04,666984.406862806,1091.71643113378,洗腎嬤收舊報紙 養5孫,記者2,388.854198789713,631.387748070411,2,10100,100,500,1,1166,http://www.appledaily.com.tw/appledaily/article/headline/20080125/30203692,http://www.appledaily.com.tw/charity/projdetail/proj/A1496,771,452,319,0,0,0,0,3,5,3,3.33,4.67,5,5.33,5,5.67,5,6,3.6,5.2,3.6,4.6,4.4,5.6,5.8,5.4,6.2,5.2,3.4,0,1,0,0,0,0,0,0,25,Fri,1,0,0,0,0,0,1166,3.066698550423,1,Jan,0,0,0,0,1,0,0,0,0,0,0,0,24,941,494005,300,524.978746014878,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,5,0,0,0,0,0,0,0,2,3,0,1,6,0,8,0,6,4,2,5,0,2,0,1,0,2,0,2,8,10,7,0,5,0,0.230769230769231,0,0.0769230769230769,0.461538461538462,0,0.615384615384615,0,0.461538461538462,0.307692307692308,0.153846153846154,0.384615384615385,0,0.153846153846154,0,0.0769230769230769,0,0.153846153846154,0,0.153846153846154,0.615384615384615,0.538461538461538,0,0.384615384615385,0,生育;結婚;離婚,0,1,0,1,0,0,0,0,1,0,0,生育;離婚,生育;結婚,69,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,2
A2708,2012-03-06,2012-04-17,828470.437084934,1072.59908897576,父逝母憨 16歲子休學扛家,記者3,453.189547555232,742.205158989094,1,20000,100,1000,2,824,http://www.appledaily.com.tw/appledaily/article/headline/20120306/34068713,http://www.appledaily.com.tw/charity/projdetail/proj/A2708,1000,573,427,1,1,1,3,3,5.67,3.33,3,4,4,5,5,5.33,2,4.5,2.5,5,3,3.5,4,5,4.5,5,5,3.5,4.5,0,0,1,0,0,0,0,0,6,Tue,0,0,0,0,1,0,824,2.91592721169712,2,Mar,0,0,0,0,0,0,0,1,0,0,0,0,1526,1152,919600,500,798.263888888889,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,52,14,0,0,0,0,0,0,1,1,3,0,1,2,0,2,0,2,2,0,3,0,1,0,0,0,0,0,0,3,3,2,0,2,2,0.6,0,0.2,0.4,0,0.4,0,0.4,0.4,0,0.6,0,0.2,0,0,0,0,0,0,0.6,0.4,0,0.4,0.4,教育;生育;結婚,0,0,0,0,1,0,0,0,0,0,0,教育;生育;結婚,生育,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,9,2
A1510,2008-02-19,2008-03-25,747450.451973028,1070.88624900731,癌婦喪夫 病體難育3子女,記者3,386.596132024825,730.184249338976,2,15000,100,600,1,895,http://www.appledaily.com.tw/appledaily/article/headline/20080219/30272782,http://www.appledaily.com.tw/charity/projdetail/proj/A1510,792,429,363,0,0,0,0,4,5.25,2,1.75,2.75,4.5,5.5,5.25,5.75,4,4,2.75,4.25,3.25,4,4,4.5,4.5,4.25,4.75,3.75,4.5,0,0,1,0,0,0,0,0,19,Tue,0,0,0,0,1,0,895,2.95182303531591,1,Feb,0,0,0,1,0,0,0,0,0,0,0,0,49,924,578867,300,626.479437229437,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,8,0,0,0,0,0,0,0,1,2,0,1,3,0,3,0,1,1,0,2,0,1,0,0,0,0,0,0,2,5,3,0,1,0,0.4,0,0.2,0.6,0,0.6,0,0.2,0.2,0,0.4,0,0.2,0,0,0,0,0,0,0.4,0.6,0,0.2,0,生育;結婚,0,1,0,1,0,0,0,0,0,0,0,生育,生育;結婚,38,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10,2
